(فا. من أَنْذَرَ)	مُنْذِرٌ-مُنْذِرٌ، ة 	
(فا. من أَنْشَأَ)	مُنْشِئٌ-مُنْشِئٌ، ةٌ 	
(فا. من أَنْشَدَ)	مُنْشِدٌ-مُنْشِدٌ، ةٌ 	
(فا. من أَنْصَتَ)	مُنْصِتٌ-مُنْصِتٌ، ةٌ 	
(فا. من أَنْصَفَ)	مُنْصِفٌ-مُنْصِفٌ، ةٌ 	
(فا. من أَنْعَشَ)	مُنْعِشٌ-مُنْعِشٌ، ةٌ 	
(فا. من أَنْقَذَ)	مُنْقِذٌ-مُنْقِذٌ، ةٌ 	
(فا. من أَنْكَرَ)	مُنْكِرٌ-مُنْكِرٌ، ةٌ 	
(فا. من أَنْهَكَ)	مُنْهِكٌ-مُنْهِكٌ، ةٌ 	
(فَا. مِنْ أهَل)	آهِلٌ-آهِلٌ، ة 	
(فا. من أَهْلَكَ)	مُهْلِكٌ-مُهْلِكٌ، ةٌ 	
(فا. من أَهْمَلَ)	مُهْمِلٌ-مُهْمِلٌ، ةٌ 	
(فا. من أَوْجَبَ)	مُوجِبٌ-مُوجِبٌ، ةٌ 	
(فا. من أَوْجَزَ)	مُوجِزٌ-مُوجِزٌ، ةٌ 	
(فا. من أَوْحَشَ)	مُوحَشٌ-مُوحَشٌ، ةٌ 	
(فا. من أَوْحَى)	مُوحِي-مُوحِي، مُوحٍ، ةٌ 	
(فا. من أَوْدَعَ)	مُودِعٌ-مُودِعٌ، ةٌ 	
(فا. من أَوْرَقَ)	مُورِقٌ-مُورِقٌ، ةٌ 	
(فا. من أَوْشَكَ)	مُوشِكٌ-مُوشِكٌ، ةٌ 	
(فا. من أَوْصَى)	مُوصِي-مُوصِي، مُوصٍ، ةٌ 	
(فا. من أَوْهَنَ)	مُوهِنٌ-مُوهِنٌ، ةٌ 	
(فَا. مِنْ أَيَّدَ)	مُؤَيِّدٌ-مُؤَيِّدٌ، ةٌ 	
(فا. من أَيْسَرَ)	مُوسِرٌ-مُوسِرٌ، ة	
(فا. من أَيْقَنَ)	مُوقِنٌ-مُوقِنٌ، ةٌ 	
(فَا. مِن اِئْتَزَرَ)	مُؤْتَزِرٌ-مُؤْتَزِرٌ، ةٌ 	
(فَا. مِن اِئْتَلَفَ)	مُؤْتَلِفٌ-مُؤْتَلِفٌ، ةٌ 	
(فَا. مِن اِئْتَمَرَ)	مُؤْتَمِرٌ-مُؤْتَمِرٌ، ةٌ 	
(فَا. مِن اِبْتَدَأَ)	مُبْتَدِئٌ-مُبْتَدِئٌ، ةٌ 	
(فَا. مِن اِبْتَدَعَ)	مُبْتَدِعٌ-مُبْتَدِعٌ، ةٌ 	
(فَا. مِن اِبْتَكَرَ)	مُبْتَكِرٌ-مُبْتَكِرٌ، ةٌ 	
(فَا. مِن اِبْتَهَجَ)	مُبْتَهِجٌ-مُبْتَهِجٌ، ةٌ 	
(فَا. مِن اِبْتَهَلَ)	مُبْتَهِلٌ-مُبْتَهِلٌ، ةٌ 	
(فَا. مِن اِتَّبَعَ)	مُتَّبِعٌ-مُتَّبِعٌ، ة 	
(فَا. مِن اِتَّجَهَ)	مُتَّجِهٌ-مُتَّجِهٌ، ة 	
(فَا. مِن اِتَّحَدَ)	مُتَّحِدٌ-مُتَّحِدٌ، ةٌ 	
(فَا. مِن اِتَّزَنَ)	مُتَّزِنٌ-مُتَّزِنٌ، ةٌ 	
(فَا. مِن اِتَّسَعَ).	مُتَّسِعٌ-مُتَّسِعٌ، ةٌ 	
(فَا. مِن اِتِّسَقَ)	مُتَّسِقٌ-مُتَّسِقٌ، ةٌ 	
(فَا. مِن اِتَّشَحَ)	مُتَّشِحٌ-مُتَّشِحٌ، ةٌ 	
(فَا. مِن اِتَّصَلَ)	مُتَّصِلٌ-مُتَّصِلٌ، ةٌ 	
(فَا. مِن اِتَّفَقَ)	مُتَّفِقٌ-مُتَّفِقٌ، ةٌ 	
(فَا. مِن اِتَّقَدَ)	مُتَّقِدٌ-مُتَّقِدٌ، ةٌ 	
(فَا. مِن اِتَّكَأَ)	مُتَّكِئٌ-مُتَّكِئٌ، ةٌ 	
(فَا. مِن اِتَّهَمَ)	مُتَّهِمٌ-مُتَّهِمٌ، ةٌ 	
(فَا. مِن اِجْتَرَّ)	مُجْتَرّ-مُجْتَرّ، ةٌ 	
(فَا. مِن اِحْتَاطَ)	مُحْتَاطٌ-مُحْتَاطٌ، ةٌ 	
(فَا. مِن اِحْتَالَ)	مُحْتَالٌ-مُحْتَالٌ، ةٌ 	
(فَا. مِن اِحْتَجَّ)	مُحْتَجٌّ-مُحْتَجٌّ، ةٌ 	
(فَا. مِن اِحْتَدَّ)	مُحْتَدٌّ-مُحْتَدٌّ، ةٌ 	
(فَا. مِن اِحْتَرَفَ)	مُحْتَرِفٌ-مُحْتَرِفٌ، ةٌ 	
(فَا. مِن اِحْتَرَمَ)	مُحْتَرِمٌ-مُحْتَرِمٌ، ةٌ 	
(فَا. مِن اِحْتَسَبَ)	مُحْتَسِبٌ-مُحْتَسِبٌ، ةٌ 	
(فَا. مِن اِحْتَشَمَ)	مُحْتَشِمٌ-مُحْتَشِمٌ، ةٌ 	
(فَا. مِن اِحْتَفَلَ)	مُحْتَفِلٌ-مُحْتَفِلٌ، ةٌ 	
(فَا. مِن اِحْتَقَرَ)	مُحْتَقِرٌ-مُحْتَقِرٌ، ةٌ 	
(فَا. مِن اِحْتَكَرَ)	مُحْتَكِرٌ-مُحْتَكِرٌ، ةٌ 	
(فَا. مِن اِحْمَرَّ)	مُحْمَرٌّ-مُحْمَرٌّ، ةٌ 	
