(مفع. مِن اِرْتَهَنَ)	مُرْتَهَنٌ-مُرْتَهَنٌ، ةٌ 
(مفع. من اِسْتَلْزَمَ)	مُسْتَلْزَمٌ-مُسْتَلْزَمٌ، ةٌ  
(مفع. مِن اِسْتَمَدَّ)	مُسْتَمَدٌّ-مُسْتَمَدٌّ، ةٌ 
(مفع. مِن اِسْتَمْطَرَ)	مُسْتَمْطَرٌ-مُسْتَمْطَرٌ، ةٌ 
(مفع. مِن اِسْتَمْلَحَ)	مُسْتَمْلَحٌ-مُسْتَمْلَحٌ، ةٌ 
(مفع. من اِسْتَنْبَتَ)	مُسْتَنْبَتٌ-مُسْتَنْبَتٌ ، ةٌ 
(مفع. مِن اِسْتَنْجَعَ)	مُسْتَنْجَعٌ-مُسْتَنْجَعٌ ، ةٌ 
(مفع. مِن اِسْتَنَدَ)	مُسْتَنَدٌ-مُسْتَنَدٌ ، ةٌ 
(مفع. مِن اِسْتَنْزَفَ)	مُسْتَنْزَفٌ-مُسْتَنْزَفٌ، ةٌ 
(مفع. من اِسْتَنْسَخَ)	مُسْتَنْسَخٌ-مُسْتَنْسَخٌ ، ةٌ 
(مفع. من اِسْتَنْشَقَ)	مُسْتَنْشَقٌ-مُسْتَنْشَقٌ ، ةٌ 
(مفع. من اِسْتَنْفَرَ)	مُسْتَنْفَرٌ-مُسْتَنْفَرٌ، ةٌ 
(مفع. مِن اِسْتَنْقَعَ)	مُسْتَنْقَعٌ-مُسْتَنْقَعٌ ، ةٌ 
(مفع. مِن اِسْتَنْكَرَ)	مُسْتَنْكَرٌ-مُسْتَنْكَرٌ، ةٌ 
(مفع. مِن اِسْتَهْجَنَ)	مُسْتَهْجَنٌ-مُسْتَهْجَنٌ، ةٌ 
(مفع. من اِسْتَهَلَّ)	مُسْتَهَلٌّ-مُسْتَهَلٌّ ، ةٌ 
(مفع. من اِسْتَهْلَكَ)	مُسْتَهْلَكٌ-مُسْتَهْلَكٌ، ةٌ 
(مفع. مِن اِسْتَوْدَعَ)	مُسْتَوْدَعٌ-مُسْتَوْدَعٌ ، ةٌ 
(مفع. مِن اِسْتَوْرَدَ)	مُسْتَوْرَدٌ-مُسْتَوْرَدٌ، ةٌ 
(مفع. مِن اِسْتَوْصَفَ)	مُسْتَوْصَفٌ-مُسْتَوْصَفٌ ، ة
(مفع. مِن اِسْتَوْلَى)	مُسْتَوْلَى-مُسْتَوْلًى
(مفع. مِن اِسْتَوَى)	مُسْتَوى-مُسْتَوى
(مفع. مِن اِشْتَبَهَ)	مُشْتَبَهٌ-مُشْتَبَهٌ
(مفع. مِن اِشْتَرَكَ)	مُشْتَرَكٌ-مُشْتَرَكٌ، ةٌ 
(مفع. مِن اِشْتَقَّ)	مُشْتَقٌّ-مُشْتَقٌّ ، ةٌ 
(مفع. مِن اِشْتَكَى)	مُشْتَكًى-مُشْتَكًى
(مفع. مِن اِشْتَهَى)	مُشْتَهًى-مُشْتَهًى
(مفع. مِن اِصْطَفَى)	مُصْطَفىً-مُصْطَفىً 
(مفع. مِنِ اِصْطَلَحَ)	مُصْطَلَحٌ-مُصْطَلَحٌ ، ةٌ 
(مفع. مِن اِضْطَرَّ)	مُضْطَرٌّ-مُضْطَرٌّ، ةٌ 
(مفع. مِن اِضْطَهَدَ)	مُضْطَهَدٌ-مُضْطَهَدٌ، ةٌ 
(مفع. مِن اِعْتَبَرَ)	مُعْتَبَرٌ-مُعْتَبَرٌ، ةٌ 
(مفع. مِن اِعْتَرَفَ)	مُعْتَرَفٌ-مُعْتَرَفٌ، ةٌ 
(مفع. مِن اِعْتَرَكَ)	مُعْتَرَكٌ-مُعْتَرَكٌ ، ةٌ 
(مفع. مِن اِعْتَصَمَ)	مُعْتَصَمٌ-مُعْتَصَمٌ ، ةٌ 
(مفع. مِن اِعْتَقَدَ)	مُعْتَقَدٌ-مُعْتَقَدٌ ، ةٌ 
(مفع. مِن اِعْتَقَلَ)	مُعْتَقَلٌ-مُعْتَقَلٌ، ةٌ 
